ID,Date,Subject,Type,Activity,Start,End,,,,,
300,1/8/2024,Productivity,Prep,Updater notion with chapter due dates,1:03 PM,1:12 PM,,,,,
301,1/8/2024,Finance,Homework,Career Plan + Salary Research,1:14 PM,2:43 PM,,,,,
302,1/8/2024,Circuits,Prep,Set up Lab software,3:47 PM,4:03 PM,,,,,
303,1/9/2024,Productivity,Plan,Make daily plan,10:22 AM,10:35 AM,,,,,
304,1/9/2024,Data SA,Prep,Set up OneNote attempt #1,10:35 AM,10:48 AM,,,,,
305,1/9/2024,Data SA,Prep,Setup C++ environment,10:48 AM,11:46 AM,,,,,
306,1/9/2024,Data SA,Prep,Set up OneNote attempt #2,11:46 AM,11:51 AM,,,,,
307,1/9/2024,Finance,Reading,Reading Ch 1: Intro p1,11:51 AM,12:19 PM,,,,,
308,1/9/2024,Circuits,Quiz,Pre-requisite review: top 3 questions,1:50 PM,2:27 PM,,,,,
309,1/10/2024,Productivity,Plan,Make daily plan,9:40 AM,9:50 AM,,,,,
310,1/10/2024,Circuits,Quiz,Pre-requisite review p2,9:51 AM,10:04 AM,,,,,
311,1/10/2024,Circuits,Quiz,Pre-requisite review p3,11:17 AM,12:10 PM,,,,,
312,1/10/2024,Circuits,Quiz,Pre-requisite review p4,12:10 PM,12:43 PM,,,,,
313,1/10/2024,Finance,Quiz,Send email about first quiz,12:44 PM,1:14 PM,,,,,
314,1/10/2024,Finance,Quiz,Solve missed quiz problems,1:16 PM,1:37 PM,,,,,
315,1/10/2024,Data SA,Homework,ZyBooks: 1-Intro,2:05 PM,3:33 PM,,,,,
316,1/10/2024,Data SA,Homework,Homework #0: C++ Intro p1,3:45 PM,4:08 PM,,,,,
317,1/11/2024,Finance,Quiz,HW 1A Quiz,3:45 PM,4:03 PM,,,,,
318,1/11/2024,Data SA,Homework,Homework #0: C++ Intro review,4:24 PM,5:15 PM,,,,,
319,1/11/2024,Databases,Prep,Download textbook,5:15 PM,5:27 PM,,,,,
320,1/11/2024,Circuits,Prep,Download textbook,5:27 PM,5:40 PM,,,,,
321,1/11/2024,Databases,Quiz,Make Ch 1 quiz questions,5:42 PM,5:52 PM,,,,,
322,1/11/2024,Databases,Reading,Reading Ch 1 p1,5:54 PM,6:29 PM,,,,,
323,1/12/2024,Finance,Quiz,HW Ch01 pB: Prep + Quiz,1:30 PM,1:55 PM,,,,,
324,1/12/2024,Databases,Reading,Reading Ch 1 p2,3:49 PM,4:49 PM,,,,,
325,1/12/2024,Databases,Reading,Reading Ch 1 p3,5:29 PM,6:21 PM,,,,,
326,1/12/2024,Therapy,Journal,Write weekly journal,10:30 AM,10:47 AM,,,,,
327,1/12/2024,Therapy,Journal,Write weekly journal,10:58 AM,11:20 AM,,,,,
328,1/14/2024,Databases,Reading,Ch 1 exercises,11:45 AM,12:09 PM,,,,,
329,1/14/2024,Databases,Reading,Quizlet: Ch 1,12:18 PM,12:56 PM,,,,,
330,1/14/2024,Circuits,Quiz,Pre-requisite review,1:40 PM,2:16 PM,,,,,
331,1/14/2024,Data SA,Quiz,Study for quiz #1,4:11 PM,4:47 PM,,,,,
332,1/14/2024,Finance,Reading,Reading Ch 1 p2,5:10 PM,5:34 PM,,,,,
333,1/14/2024,Finance,Reading,Reading Ch 1 p3,5:49 PM,6:50 PM,,,,,
334,1/14/2024,Finance,Reading,Reading Ch 1 p4,7:11 PM,7:20 PM,,,,,
335,1/14/2024,Finance,Reading,Ch 1 exercises p1,7:30 PM,8:38 PM,,,,,
336,1/15/2024,Finance,Reading,Ch 1 exercises p2,11:45 AM,12:21 PM,,,,,
337,1/15/2024,Finance,Reading,Reading Ch 2  p1,12:22 PM,12:47 PM,,,,,
338,1/15/2024,Finance,Reading,Reading Ch 2 p2,12:57 PM,1:57 PM,,,,,
339,1/15/2024,Data SA,Homework,ZyBooks: 3.1 Search + Algo analysis,2:14 PM,3:26 PM,,,,,
340,1/15/2024,Circuits,Lab,Review Lab 0 pdf,7:52 PM,8:48 PM,,,,,
341,1/15/2024,Circuits,Lab,Review Lab 0 video tutorial,8:49 PM,9:00 PM,,,,,
342,1/17/2024,Productivity,Plan,Make daily plan,11:19 AM,11:27 AM,,,,,
343,1/17/2024,Finance,Quiz,HW Ch01 pC Quiz,11:28 AM,12:54 PM,,,,,
344,1/17/2024,Databases,Reading,Quizlet Ch 1 review,1:06 PM,1:44 PM,,,,,
345,1/17/2024,Databases,Reading,Reading Ch 2 p1,1:47 PM,2:47 PM,,,,,
346,1/17/2024,Databases,Reading,Reading Ch 2 p2,2:57 PM,3:10 PM,,,,,
347,1/17/2024,Data SA,Quiz,Study for quiz #1,3:48 PM,4:12 PM,,,,,
348,1/17/2024,Data SA,Project,Project 1 p1,4:15 PM,4:30 PM,,,,,
349,1/17/2024,Data SA,Project,Project 1 p2,7:15 PM,7:45 PM,,,,,
350,1/18/2024,Productivity,Plan,Make daily plan,7:17 AM,7:27 AM,,,,,
351,1/19/2024,Productivity,Plan,Make daily plan,2:29 PM,2:39 PM,,,,,
352,1/19/2024,Therapy,Reading,Reading OCD papers p1,2:40 PM,2:54 PM,,,,,
353,1/19/2024,Therapy,Reading,Reading OCD papers p2,5:24 PM,6:46 PM,,,,,
354,1/19/2024,Therapy,Reading,Reading OCD papers p3,8:05 PM,8:54 PM,,,,,
355,1/19/2024,Therapy,Reading,Reading OCD papers p4,8:55 PM,9:00 PM,,,,,
356,1/20/2024,Finance,Quiz,HW Ch01 pD Quiz,12:54 PM,1:32 PM,,,,,
357,1/20/2024,Circuits,Lab,Lab #0 p1,2:47 PM,3:47 PM,,,,,
358,1/20/2024,Circuits,Lab,Lab #0 p2,3:59 PM,4:38 PM,,,,,
359,1/20/2024,Circuits,Lab,Lab #0 p3,4:55 PM,6:14 PM,,,,,
360,1/21/2024,Data SA,Homework,Homework #1 p1,10:40 AM,11:40 AM,,,,,
361,1/21/2024,Data SA,Homework,Homework #1 p2,11:56 AM,12:12 PM,,,,,
362,1/21/2024,Data SA,Homework,ZyBooks: 3.5 revisited,12:13 PM,12:20 PM,,,,,
363,1/21/2024,Data SA,Homework,ZyBooks: 3.5-3.10,12:41 PM,2:11 PM,,,,,
364,1/21/2024,Data SA,Homework,ZyBooks: 3.10 finish,2:25 PM,2:36 PM,,,,,
365,1/21/2024,Finance,Reading,Reading Ch 2 p?,3:22 PM,4:27 PM,,,,,
366,1/21/2024,Circuits,Reading,Exercises 2.2 & VHDL Hour 07 p1,4:39 PM,5:11 PM,,,,,
367,1/21/2024,Circuits,Reading,VHDL Hour 05,5:13 PM,5:41 PM,,,,,
368,1/21/2024,Circuits,Reading,VHDL Hour 06,5:41 PM,5:51 PM,,,,,
369,1/21/2024,Circuits,Reading,VHDL Hour 07 p2,5:52 PM,6:19 PM,,,,,
370,1/21/2024,Circuits,Reading,VHDL Hour 07 p3,7:53 PM,8:09 PM,,,,,
371,1/21/2024,Databases,Reading,Study quizlet ch1,8:14 PM,8:25 PM,,,,,
372,1/21/2024,Productivity,Plan,Make weekly plan p1,8:32 PM,8:50 PM,,,,,
373,1/22/2024,Productivity,Plan,Make daily plan,11:29 AM,11:36 AM,,,,,
374,1/22/2024,Productivity,Plan,Make weekly plan p2,11:37 AM,12:40 PM,,,,,
375,1/22/2024,Productivity,Plan,Estimate time available THIS week,3:11 PM,3:24 PM,,,,,
376,1/22/2024,Productivity,Data Entry,Enter Jan 2024 data p1,3:24 PM,3:51 PM,,,,,
377,1/22/2024,Productivity,Data Entry,Enter Jan 2024 data p2,4:00 PM,4:30 PM,,,,,
378,1/22/2024,Productivity,Data Entry,Enter Jan 2024 data p3,8:21 PM,8:50 PM,,,,,
379,1/23/2024,Productivity,Data Entry,Enter Nov 2023,9:20 AM,10:15 AM,,,,,
380,1/23/2024,Productivity,Data Entry,Enter Data Oct 2023,10:15 AM,10:59 AM,,,,,
381,1/23/2024,Productivity,Data Entry,Enter Data Sept 2023,10:59 AM,11:35 AM,,,,,
382,1/23/2024,Productivity,Data Entry,Enter Data Aug 2023,11:35 AM,11:48 AM,,,,,
383,1/23/2024,Therapy,Homework,Weekly Journal,6:21 PM,6:30 PM,,,,,
384,1/24/2024,Productivity,Plan,Make weekly plan,9:39 AM,10:07 AM,,,,,
385,1/24/2024,Data SA,Quiz,Quiz #2,1:20 PM,1:30 PM,,,,,
386,1/24/2024,Finance,Quiz,HW Quiz ch1 pE,2:00 PM,2:18 PM,,,,,
387,1/24/2024,Circuits,Lab,Lab #0 Cont'd,2:59 PM,3:56 PM,,,,,
388,1/24/2024,Databases,Reading,Reading ch2 p1,4:10 PM,5:10 PM,,,,,
389,1/24/2024,Databases,Reading,Reading ch2 p2,5:25 PM,5:48 PM,,,,,
390,1/25/2024,Productivity,Plan,Make daily plan,8:07 AM,8:16 AM,,,,,
391,1/25/2024,Databases,Reading,Skin rest of ch2,8:57 AM,9:30 AM,,,,,
392,1/25/2024,Circuits,Lab,Lab #0 cont'd,5:15 PM,5:41 PM,,,,,
393,1/25/2024,Circuits,Lab,Lab #0 cont'd,8:20 AM,9:04 AM,,,,,
394,1/25/2024,Life,Chore,Update license plate and insurance,9:04 AM,9:30 AM,,,,,
395,1/25/2024,Databases,Reading,Ch 2 exercises p1,12:56 PM,1:35 PM,,,,,
396,1/27/2024,Finance,Homework,Budget Assignment,10:00 AM,11:19 AM,,,,,
397,1/27/2024,Finance,Quiz,HW Ch2 pA quiz p1,3:33 PM,4:10 PM,,,,,
398,1/27/2024,Finance,Quiz,HW Ch2 pA quiz p2,4:53 PM,4:59 PM,,,,,
399,1/28/2024,Databases,Quiz,Ch 2 Exercises p2,3:52 PM,4:41 PM,,,,,
400,1/28/2024,Databases,Quiz,Ch 2 Exercises p3,7:46 PM,9:00 PM,,,,,
401,1/29/2024,Productivity,Plan,Make daily plan,7:51 AM,7:58 AM,,,,,
402,1/29/2024,Productivity,Chore,Make quick lunch,7:58 AM,8:00 AM,,,,,
403,1/29/2024,Productivity,Plan,Make weekly plan,8:01 AM,8:20 AM,,,,,
404,1/29/2024,Therapy,Homework,OCD Book p1,8:20 AM,9:36 AM,,,,,
405,1/29/2024,Therapy,Homework,OCD Book p2,12:51 PM,1:01 PM,,,,,
406,1/29/2024,Databases,Reading,Ch 2 exercises,1:03 PM,1:18 PM,,,,,
407,1/29/2024,Databases,Reading,Create quizlet set for ch 2,1:19 PM,2:32 PM,,,,,
408,1/29/2024,Life,Eat,Eat lunch,2:39 PM,2:56 PM,,,,,
409,1/29/2024,Data SA,Lecture,Watch old lecture video,2:56 PM,3:49 PM,,,,,
410,1/29/2024,Data SA,Project,Project 2 p1,3:56 PM,4:33 PM,,,,,
411,1/29/2024,Data SA,Project,Project 2 p2,8:11 PM,9:21 PM,,,,,
412,1/30/2024,Data SA,Project,Project p2 p3,8:01 AM,9:26 AM,,,,,
413,1/30/2024,Databases,Quiz,Homework Quiz #1 (ch1 + ch2),9:29 AM,10:00 AM,,,,,
414,1/30/2024,Circuits,Lab,Lab #1 video p1,11:07 AM,11:24 AM,,,,,
415,1/30/2024,Productivty,Plan,Make weekly plan,1:50 PM,2:47 PM,,,,,
416,1/31/2024,Circuits,Lab,Watch lab #1 video p2,2:44 PM,3:46 PM,,,,,
417,1/31/2024,Circuits,Exam,Practice Exam #1 p1,4:00 PM,4:35 PM,,,,,
418,2/1/2024,Circuits,Exam,Practice Exam #1 p2,8:52 AM,9:57 AM,,,,,
419,2/1/2024,Circuits,Exam,Practice Exam #1 p3,10:00 AM,11:47 AM,,,,,
420,2/1/2024,Data SA,Project,Edit project 2 comments,3:45 PM,3:50 PM,,,,,
421,2/1/2024,Finance,Quiz,HW Quiz ch2 pB,3:52 PM,4:54 PM,,,,,
422,2/1/2024,Circuits,Lab,Lab #1 p1,5:59 PM,6:30 PM,,,,,
423,2/1/2024,Circuits,Lab,Lab #1 p2,8:19 PM,9:03 PM,,,,,
424,2/2/2024,Circuits,Lab,Lab #1 p3,8:30 AM,9:36 AM,,,,,
425,2/2/2024,Circuits,Lab,Lab #1 p4,1:06 PM,2:06 PM,,,,,
426,2/2/2024,Circuits,Lab,Lab #1 p5,2:17 PM,2:45 PM,,,,,
427,2/2/2024,Circuits,Lab,Lab #1 p6,2:54 PM,3:50 PM,,,,,
428,2/2/2024,Circuits,Lab,Lab #1 p7,4:45 PM,5:02 PM,,,,,
429,2/2/2024,Data SA,Quiz,Study homework #2,5:30 PM,6:00 PM,,,,,
430,2/3/2024,Circuits,Exam,Practice Exam #1 p4,10:50 AM,11:26 AM,,,,,
431,2/4/2024,Finance,Exam,Prepare Equation sheet for exam,8:54 AM,9:10 AM,,,,,
432,2/4/2024,Finance,Exam,Exam #1,9:12 AM,10:13 AM,,,,,
433,2/4/2024,Therapy,Journal,Weekly journal,12:37 PM,2:46 PM,,,,,
434,2/4/2024,Productivity,Plan,Make weekly plan,3:51 PM,5:41 PM,,,,,
435,2/4/2024,Finance,Reading,Reading ch3 p1,8:00 PM,9:00 PM,,,,,
436,2/4/2024,Data SA,Quiz,Study homework #2,9:10 PM,9:30 PM,,,,,
437,2/5/2024,Finance,Reading,Reading ch3 p2,8:52 AM,9:37 AM,,,,,
438,2/5/2024,Finance,Reading,Reading ch3 p3,11:13 AM,12:11 PM,,,,,
439,2/5/2024,Finance,Reading,Reading ch3 p4,12:32 PM,2:33 PM,,,,,
440,2/5/2024,Finance,Reading,Ch3 Exercises p1,2:37 PM,3:07 PM,,,,,
441,2/5/2024,Finance,Reading,Ch3 Exercises p2,3:11 PM,3:39 PM,,,,,
442,2/5/2024,Finance,Quiz,Homework quiz ch3 pA,8:33 PM,9:17 PM,,,,,
443,2/6/2024,Circuits,Prep,Transfer files to usb for lab,8:52 AM,8:56 AM,,,,,
444,2/6/2024,Circuits,Exam,Exam #1 study,10:18 AM,11:03 AM,,,,,
445,2/6/2024,Circuits,Exam,Exam #1 study,12:04 PM,12:49 PM,,,,,
446,2/7/2024,Finance,Quiz,Homework quiz ch3 pB,11:53 AM,12:33 PM,,,,,
447,2/7/2024,Data SA,Quiz,Review homework #2,12:34 PM,12:54 PM,,,,,
448,2/7/2024,Data SA,Quiz,Study for quiz #3,12:54 PM,1:03 PM,,,,,
449,2/7/2024,Databases,Reading,Reading ch3,1:15 PM,2:25 PM,,,,,
450,2/7/2024,Databases,Reading,Reading ch3 summary,2:29 PM,2:35 PM,,,,,
451,2/7/2024,Databases,Reading,Reading 3.5,2:37 PM,3:39 PM,,,,,
452,2/7/2024,Databases,Reading,Reading 3.6-3.7,4:00 PM,4:15 PM,,,,,
453,2/8/2024,Data SA,Project,Project #3 p1,9:44 AM,10:03 AM,,,,,
454,2/9/2024,Databases,Reading,Ch3 Exercises p1,1:56 PM,3:23 PM,,,,,
455,2/9/2024,Circuits,Lab,Lab #1,5:32 PM,6:12 PM,,,,,
456,2/9/2024,Data SA,Project,Project #3 p2,6:13 PM,6:53 PM,,,,,
457,2/9/2024,Data SA,Project,Project #3 p3,7:26 PM,8:50 PM,,,,,
458,2/10/2024,Productivity,Data Entry,Data Entry,12:48 PM,1:04 PM,,,,,
459,2/10/2024,Productivity,Data Entry,Data Entry,1:17 PM,1:52 PM,,,,,
460,2/10/2024,Productivity,Data Analysis,Data Analysis,1:52 PM,3:10 PM,,,,,
461,2/10/2024,Therapy,Reading,Reading porn articles p1,4:21 PM,5:21 PM,,,,,
462,2/10/2024,Therapy,Reading,Reading porn articles p2,5:32 PM,6:05 PM,,,,,
463,2/10/2024,Finance,Quiz,Exam bonus,6:06 PM,6:20 PM,,,,,
464,2/11/2024,Finance,Homework,Credit Report Assignment p1,7:57 AM,8:59 AM,,,,,
465,2/11/2024,Finance,Homework,Credit Report Assignment p2,9:44 AM,10:37 AM,,,,,
466,2/11/2024,Finance,Quiz,HW Quiz Ch3 pC,10:51 AM,12:54 PM,,,,,
467,2/11/2024,Finance,Reading,Review Ch3,1:30 PM,2:09 PM,,,,,
468,2/11/2024,Productivity,Plan,Make daily plan p2.1,2:11 PM,2:20 PM,,,,,
469,2/11/2024,Productivity,Plan,Make daily plan p3,3:36 PM,3:39 PM,,,,,
470,2/11/2024,Databases,Reading,Ch 3 Exercises 3.5,3:40 PM,4:47 PM,,,,,
471,2/11/2024,Productivity,Plan,Make weekly plan,8:30 PM,9:00 PM,,,,,
472,2/12/2024,Data SA,Project,Project #3 p4,9:11 AM,10:04 AM,,,,,
473,2/12/2024,Databases,Reading,Office Hours: Queastion ch3.3,11:20 AM,11:40 AM,,,,,
474,2/12/2024,Data SA,Project,Project #3 p5,11:48 AM,1:22 PM,,,,,
475,2/12/2024,Circuits,Lab,Lab #1: case I & subtests,1:30 PM,1:57 PM,,,,,
476,2/12/2024,Data SA,Reading,"Review ZyBooks 1.4,1.6,3.1,3.2",2:47 PM,3:21 PM,,,,,
477,2/12/2024,Data SA,Project,Project #3 p6,3:22 PM,4:35 PM,,,,,
478,2/12/2024,Data SA,Project,Project #3 p7,8:25 PM,8:53 PM,,,,,
479,2/13/2024,Data SA,Project,Project #3 p8,9:20 AM,12:13 PM,,,,,
480,2/13/2024,Circuits,Lab,Check Lab Eqs,5:00 PM,6:29 PM,,,,,
481,2/14/2024,Productivity,Plan,Make daily plan,9:06 AM,9:17 AM,,,,,
482,2/14/2024,Data SA,Project,Project #3 p9,9:18 AM,9:56 AM,,,,,
483,2/14/2024,Databases,Reading,Review ex 3.5,9:57 AM,10:03 AM,,,,,
484,2/14/2024,Databases,Homework,Homework #2 Quiz,11:31 AM,12:03 PM,,,,,
485,2/14/2024,Data SA,Quiz,Quiz Review,12:20 PM,12:44 PM,,,,,
486,2/14/2024,Circuits,Lab,Lab #1: TA Office Hours,12:49 PM,1:30 PM,,,,,
487,2/14/2024,Data SA,Reading,"Review ZyBooks 1.4,1.6,3.1,3.2,3.6,3.7",2:15 PM,2:59 PM,,,,,
488,2/14/2024,Circuits,Lab,Lab #1 Cont'd,3:00 PM,3:58 PM,,,,,
489,2/14/2024,Data SA,Project,Project #3 p10,4:00 PM,4:31 PM,,,,,
490,2/14/2024,Therapy,Homework,OCD Reading Ch 3 + Journal Entry,8:19 PM,9:00 PM,,,,,
491,2/15/2024,Productivity,Plan,Make daily plan,9:20 AM,9:30 AM,,,,,
492,2/15/2024,Finance,Quiz,Finance Quiz,4:25 PM,5:13 PM,,,,,
493,2/16/2024,Data SA,Project,Project #3 p11,1:20 PM,2:38 PM,,,,,
494,2/17/2024,Data SA,Project,Project #3 p12,9:40 AM,10:40 AM,,,,,
495,2/17/2024,Data SA,Project,Project #3 p13,11:32 AM,12:04 PM,,,,,
496,2/17/2024,Data SA,Project,Project #3 p14 -- comments p1,1:00 PM,2:04 PM,,,,,
497,2/17/2024,Data SA,Project,Project #3 p15 -- comments p2,2:15 PM,3:15 PM,,,,,
498,2/17/2024,Data SA,Project,Project #3 p16 -- comments p3,3:25 PM,3:46 PM,,,,,
499,2/17/2024,Data SA,Project,Project #3 p17 -- Create Office Hours Qs,3:47 PM,3:56 PM,,,,,
500,2/17/2024,Data SA,Quiz,Practice Class Problem,5:22 PM,5:25 PM,,,,,
501,2/17/2024,Finance,Reading,Reading ch 4 pg 85,5:33 PM,6:33 PM,,,,,
502,2/17/2024,Finance,Reading,Reading ch 4 pg 86,7:14 PM,7:30 PM,,,,,
503,2/18/2024,Finance,Reading,Reading ch 4 pg 87,5:24 PM,6:20 PM,,,,,
504,2/19/2024,Productivity,Plan,Make weekly plan p1,11:26 AM,11:37 AM,,,,,
505,2/19/2024,Productivity,Plan,Make weekly plan p2,11:47 AM,12:17 PM,,,,,
506,2/19/2024,Finance,Reading,Reading ch 4 pg 87 p1,12:17 PM,12:47 PM,,,,,
507,2/19/2024,Finance,Reading,Reading ch 4 pg 87 p2,12:58 PM,1:03 PM,,,,,
508,2/19/2024,Finance,Reading,Reading ch 4 pg 88 p1,1:03 PM,1:29 PM,,,,,
509,2/19/2024,Finance,Quiz,HW Quiz Ch4 pB + ch 5 pA,1:33 PM,2:16 PM,,,,,
510,2/19/2024,Databases,Exam,Make DB Exam Study Plan,2:22 PM,2:28 PM,,,,,
511,2/19/2024,Data SA,Project,Project #3 p18 -- Office Hours,2:28 PM,3:02 PM,,,,,
512,2/19/2024,Data SA,Homework,ZyBooks 4.3,3:21 PM,4:24 PM,,,,,
513,2/20/2024,Databases,Study,Study Practice Exam + Make Cheat Sheet,9:17 AM,10:40 AM,,,,,
514,2/20/2024,Databases,Study,Review HW #1 & HW #2 + Cheat Sheet,1:43 PM,2:19 PM,,,,,
515,2/20/2024,Data SA,Homework,ZyBooks 4.5,2:21 PM,2:31 PM,,,,,
516,2/20/2024,Data SA,Homework,ZyBooks 4.6 p1,2:31 PM,2:52 PM,,,,,
517,2/21/2024,Data SA,Homework,ZyBooks 4.7,3:21 PM,4:33 PM,,,,,
518,2/22/2024,Therapy,Homework,Answer 4 take home questions,8:26 AM,9:34 AM,,,,,
519,2/22/2024,Productivity,Homework,Make next week's goals,3:53 PM,4:21 PM,,,,,
520,2/22/2024,Finance,Quiz,HW Quiz 5.B & 6.A,4:31 PM,5:23 PM,,,,,
521,2/23/2024,Finance,Quiz,HW 6.B,10:59 AM,11:38 AM,,,,,
522,2/23/2024,Finance,Quiz,HW 6.B,11:52 AM,12:14 PM,,,,,
523,2/24/2024,Finance,Exam,Review old Quizzes: Ch 3-6,12:55 PM,1:21 PM,,,,,
524,2/24/2024,Finance,Exam,Create formula sheet + book review,1:22 PM,2:02 PM,,,,,
525,2/24/2024,Finance,Exam,Exam #2 - Ch 3-6,2:21 PM,3:11 PM,,,,,
526,2/27/2024,Data SA,Homework,ZyBooks: 5.1-5.4 p1,11:56 AM,12:57 PM,,,,,
527,2/27/2024,Data SA,Homework,ZyBooks: 5.1-5.4 p2,1:07 PM,2:07 PM,,,,,
528,2/27/2024,Data SA,Homework,ZyBooks: 5.1-5.4 p3,2:17 PM,3:35 PM,,,,,
529,2/27/2024,Data SA,Homework,ZyBooks: 5.1-5.4 p4,3:45 PM,4:32 PM,,,,,
530,2/27/2024,Circuits,Exam,Exam #2 study p1,4:35 PM,4:42 PM,,,,,
531,2/27/2024,Circuits,Exam,Exam #2 study p2,8:32 PM,8:55 PM,,,,,
532,2/28/2024,Therapy,Homework,OCD Book pg 55-58,10:41 AM,11:30 AM,,,,,
533,2/28/2024,Therapy,Homework,Question: Do I need to socialize?,11:34 AM,12:18 PM,,,,,
534,2/28/2024,Therapy,Journal,Additional Weekly Journal,12:19 PM,12:55 PM,,,,,
535,2/28/2024,Therapy,Homework,Effort Distribution Assignment,1:05 PM,1:51 PM,,,,,
536,2/28/2024,Therapy,Homework,Social Trigger & Cogntive Refraiming p1,1:52 PM,2:07 PM,,,,,
537,2/28/2024,Therapy,Homework,Social Trigger & Cogntive Refraiming p2,3:40 PM,4:29 PM,,,,,
538,2/28/2024,Therapy,Homework,Core Beliefs Assignment p1,4:30 PM,4:41 PM,,,,,
539,2/28/2024,Therapy,Homework,Core Beliefs Assignment p1,4:51 PM,5:51 PM,,,,,
540,2/28/2024,Therapy,Homework,Depression + Med Change Connection Assignment,8:27 PM,8:44 PM,,,,,
541,2/28/2024,Productivity,Data Entry,Data Entry Feb + Spring Break,8:47 PM,9:40 PM,,,,,
542,2/29/2024,Circuits,Exam,Exam #2 study p3,8:55 AM,9:35 AM,,,,,
543,2/29/2024,Circuits,Exam,Exam #2 study p4,12:18 PM,12:35 PM,,,,,
544,2/29/2024,Circuits,Exam,Exam #2 study p5,12:35 PM,1:11 PM,,,,,
545,2/29/2024,Circuits,Exam,Exam #2 study p6,1:12 PM,1:30 PM,,,,,
546,2/29/2024,Circuits,Exam,Exam #2 study p7,1:55 PM,3:14 PM,,,,,
547,2/29/2024,Therapy,Plan,Put homework into Notion,3:17 PM,3:19 PM,,,,,
548,2/29/2024,Circuits,Exam,Exam #2 study p8,3:20 PM,3:32 PM,,,,,
549,2/29/2024,Therapy,Homework,OCD Book: pg 59 - 65,8:37 PM,9:19 PM,,,,,
550,3/4/2024,Productivity,Plan,Update Notion: 7th weekly plan,12:06 PM,12:20 PM,,,,,
551,3/4/2024,Productivity,Plan,Re-evaluate habits p1,12:31 PM,2:23 PM,,,,,
552,3/4/2024,Therapy,Homework,Resilience article #2,2:25 PM,2:58 PM,,,,,
553,3/4/2024,Circuits,Exam,Oractuce Exan #2 session #2 p1,3:16 PM,4:29 PM,,,,,
554,3/5/2024,Circuits,Exam,Practice Exam #2 Full #3 p1,10:32 AM,10:52 AM,,,,,
555,3/5/2024,Circuits,Exam,Practice Exam #2 Full #3 p2,11:27 AM,11:38 AM,,,,,
556,3/6/2024,Data SA,Reading,Review ZyBooks: 4.3-4.10 p1,9:20 AM,10:05 AM,,,,,
557,3/6/2024,Data SA,Reading,Review ZyBooks: 4.3-4.10 p2,11:26 AM,11:56 AM,,,,,
558,3/6/2024,Circuits,Lab,Fix Mealy 101 code p1,12:03 PM,12:14 PM,,,,,
559,3/6/2024,Circuits,Lab,Work on Moore 0010 p1,12:15 PM,12:30 PM,,,,,
560,3/6/2024,Circuits,Lab,Fix Mealy 101 code p2,12:37 PM,12:42 PM,,,,,
561,3/6/2024,Circuits,Lab,Work on mealy 0010 p2,12:43 PM,12:52 PM,,,,,
562,3/6/2024,Circuits,Lab,TA Office Hours: Lab #2,12:58 PM,1:59 PM,,,,,
563,3/6/2024,Circuits,Lab,Lab #2 fix code,3:03 PM,3:18 PM,,,,,
564,3/6/2024,Data SA,Quiz,Study for trees quiz #6,3:20 PM,3:37 PM,,,,,
565,3/6/2024,Circuits,Lab,Lab #2: Report p1,3:38 PM,4:26 PM,,,,,
566,3/6/2024,Circuits,Lab,Lab #2: Report p2,6:04 PM,6:43 PM,,,,,
567,3/6/2024,Finance,Reading,Reading ch 7 pg 144,6:52 PM,7:19 PM,,,,,
568,3/6/2024,Finance,Reading,Reading ch 7 pg 145 p1,7:19 PM,7:38 PM,,,,,
569,3/7/2024,Finance,Quiz,HW ch07 pA quiz,3:39 PM,4:47 PM,,,,,
570,3/7/2024,Finance,Quiz,Exam 2 bonus,4:48 PM,5:01 PM,,,,,
571,3/7/2024,Finance,Extra Credit,Big Short summary,5:01 PM,5:13 PM,,,,,
572,3/7/2024,Finance,Extra Credit,Big short quiz,5:14 PM,5:31 PM,,,,,
573,3/7/2024,Finance,Homework,Auto Purchase Assignment,8:30 PM,8:39 PM,,,,,
574,3/8/2024,Finance,Reading,Reading ch 7 pg 145 p2,11:49 AM,12:27 PM,,,,,
575,3/8/2024,Finance,Reading,Reading ch7 pg 146 p1,12:35 PM,1:00 PM,,,,,
576,3/10/2024,Finance,Reading,Reading ch 7 pg 146 p2,11:06 AM,12:07 PM,,,,,
577,3/10/2024,Finance,Reading,Reading ch 7 pg 146 p3,12:18 PM,12:30 PM,,,,,
578,3/10/2024,Finance,Reading,Reading ch 7 pg 147,12:30 PM,12:49 PM,,,,,
579,3/10/2024,Finance,Quiz,HW Quiz ch07 pB p1,12:50 PM,1:33 PM,,,,,
580,3/11/2024,Finance,Quiz,HW Quiz ch07 pB p2,11:08 AM,11:43 AM,,,,,
581,3/11/2024,Finance,Homework,Housing Mortgage Assignment,11:44 AM,11:48 AM,,,,,
582,3/11/2024,Databases,Homework,HW Quiz #3 - ch 4,12:01 PM,12:57 PM,,,,,
583,3/11/2024,Circuits,Lab,Lab #2: TA Office Hours,1:05 PM,1:44 PM,,,,,
584,3/11/2024,School,Plan,Research Fall 2024 + Spring 2025 classes,2:14 PM,2:43 PM,,,,,
585,3/11/2024,Circuits,Lab,Review booth multiplier p1,3:02 PM,3:39 PM,,,,,
586,3/11/2024,Circuits,Lab,Review booth multiplier p2,3:43 PM,4:20 PM,,,,,
587,3/11/2024,Career,Plan,Research companies at career fair,6:50 PM,7:41 PM,,,,,
